nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Rose Modesto,F,20/02/1978,,,,,,,"202.187,67",16532.25,28174.06,22572.80,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,18149.96,3468.47,,"1.056.422,10",109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,,,"33.763,00",
Talíria Petrone,F,09/04/1985,76 dias,14 dias,2 dias,27 reuniões,19 reuniões,32 reuniões,"273.733,18",35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.80,3279.24,562.40,,"1.114.287,26",111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.00,111276.31,,,"33.763,00",
Tereza Nelma,F,07/10/1957,79 dias,13 dias,0 dias,103 reuniões,49 reuniões,36 reuniões,"366.423,07",42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.10,,"1.096.693,18",111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,,,"33.763,00",
Tereza Cristina,F,06/07/1954,63 dias,2 dias,4 dias,59 reuniões,1 reuniões,6 reuniões,"153.213,89",,,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,24831.46,4522.70,,"682.604,66",0.00,0.00,1279.50,71166.60,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,,,"33.763,00",
Vivi Reis,F,05/08/1991,81 dias,11 dias,0 dias,79 reuniões,18 reuniões,21 reuniões,"364.896,71",50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,25660.38,288.09,,"1.108.885,82",111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.00,111423.00,111423.00,111423.00,,,"33.763,00",1
Luiza Erundina,F,30/11/1934,78 dias,14 dias,0 dias,37 reuniões,9 reuniões,14 reuniões,"222.485,05",17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.00,246.98,,"984.473,08",106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,,,"33.763,00",
Luizianne Lins,F,18/11/1968,82 dias,7 dias,3 dias,5 reuniões,6 reuniões,10 reuniões,"394.965,38",43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,366.70,,"1.116.014,42",111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,,,"33.763,00",
Magda Mofatto,F,26/10/1948,77 dias,3 dias,12 dias,28 reuniões,6 reuniões,36 reuniões,"248.362,06",41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,395.33,349.27,0.00,,"1.079.760,32",103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,,,"33.763,00",
Major Fabiana,F,09/01/1980,76 dias,11 dias,5 dias,22 reuniões,4 reuniões,0 reuniões,"253.074,32",19669.14,45316.31,58832.43,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,,"1.113.455,24",111544.24,111438.52,111398.27,111315.37,111119.65,111039.60,111350.20,111350.20,111554.84,111344.35,,,"33.763,00",
Mara Rocha,F,04/09/1973,77 dias,14 dias,1 dias,30 reuniões,6 reuniões,16 reuniões,"431.336,20",56886.05,57867.30,54199.26,62724.01,46657.40,33841.62,21007.85,23443.28,30345.94,44363.49,0.00,,"1.108.625,39",110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,,,"33.763,00",
