nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Dimas Fabiano,M,23/05/1973,86 dias,5 dias,1 dias,18 reuniões,3 reuniões,1 reuniões,"283.523,77",30575.40,29897.78,36489.01,37782.58,34645.39,23877.46,33775.98,26291.36,16347.48,12634.33,1207.00,,"965.287,10",92717.74,90647.71,88844.00,89894.36,93796.44,94254.41,100197.24,96972.36,108044.05,109918.79,,,"33.763,00",
Domingos Neto,M,29/04/1988,79 dias,6 dias,7 dias,30 reuniões,6 reuniões,25 reuniões,"346.157,45",33731.48,52313.10,36169.17,53317.93,77719.59,22751.47,19502.64,3346.59,2837.01,44468.47,0.00,,"1.105.842,15",111544.43,111544.43,110497.19,107599.23,111235.68,111617.24,111617.24,111617.24,111617.24,106952.23,,,"33.763,00",
Doutor Luizinho,M,15/12/1973,67 dias,0 dias,25 dias,14 reuniões,0 reuniões,22 reuniões,"266.546,32",27501.17,33784.37,41465.77,43233.68,38833.58,24163.31,23117.56,18685.19,10202.91,5508.98,49.80,,"1.074.387,81",97653.62,97653.62,108819.42,110434.31,110434.31,110434.31,110434.31,110413.15,111647.44,106463.32,,,"33.763,00",
Dr. Frederico,M,24/03/1977,83 dias,0 dias,9 dias,24 reuniões,0 reuniões,57 reuniões,"310.970,98",31170.62,36914.75,42269.93,38087.59,42514.00,33769.22,28862.16,24728.50,11486.99,20931.45,235.77,,"1.106.826,40",111212.41,111201.53,110944.53,108641.77,111313.96,110772.89,111313.96,110891.90,111313.96,109219.49,,,"33.763,00",
Domingos Sávio,M,25/03/1957,87 dias,3 dias,2 dias,29 reuniões,1 reuniões,6 reuniões,"311.182,97",24341.19,52616.35,44927.02,32735.37,48074.76,26928.66,27300.43,24815.98,18843.40,9599.00,1000.81,,"1.108.990,28",109833.82,109833.82,111183.95,111653.56,110747.01,110990.37,111313.88,110806.11,111313.88,111313.88,,,"33.763,00",
Dr. Jaziel,M,03/05/1961,69 dias,3 dias,20 dias,12 reuniões,1 reuniões,26 reuniões,"332.318,98",53231.07,44873.85,55545.89,35428.27,35377.77,36517.71,20837.34,20773.89,21505.53,8227.66,0.00,,"1.115.897,66",111279.95,111565.34,111653.51,111653.51,111653.51,111477.80,111653.51,111653.51,111653.51,111653.51,,,"33.763,00",
Dr. Leonardo,M,14/06/1978,91 dias,0 dias,1 dias,27 reuniões,1 reuniões,2 reuniões,"319.714,69",42371.40,36053.31,44978.86,51992.40,41703.89,36956.95,29525.44,11128.25,9478.35,15240.77,285.07,,"1.047.250,04",99981.22,100959.57,99231.78,108961.58,104982.41,110759.92,111287.34,105356.57,102212.41,103517.24,,,"33.763,00",
Dr. Luiz Ovando,M,25/09/1949,86 dias,5 dias,1 dias,70 reuniões,0 reuniões,12 reuniões,"353.911,42",40038.05,41231.34,52947.39,46480.82,47335.38,30870.88,29474.27,27038.62,21752.29,13797.33,2945.05,,"973.451,59",96640.72,96640.72,97315.81,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,97550.62,,,"33.763,00",
Edilázio Júnior,M,04/05/1981,87 dias,5 dias,0 dias,12 reuniões,1 reuniões,0 reuniões,"274.890,22",29645.70,67991.37,21709.65,54054.00,19692.50,28378.82,18023.27,5308.77,14235.23,15850.91,0.00,,"1.113.908,02",111402.54,111185.22,111659.65,111166.30,111659.65,111659.65,111659.65,110963.46,111241.12,111310.78,,,"33.763,00",
Dr. Zacharias Calil,M,05/11/1953,82 dias,10 dias,0 dias,85 reuniões,8 reuniões,27 reuniões,"227.743,53",25614.66,32870.88,33504.56,32975.66,32600.29,18394.14,17770.75,7364.25,5479.94,20331.91,836.49,,"806.210,41",83672.50,77891.18,81413.26,83956.98,83956.98,83754.79,77891.18,77891.18,77891.18,77891.18,,,"33.763,00",
Edio Lopes,M,04/01/1952,71 dias,5 dias,16 dias,18 reuniões,2 reuniões,5 reuniões,"352.768,46",42432.81,39836.40,47117.63,54268.93,97784.62,14519.68,22739.81,16900.14,1349.74,15390.97,427.73,,"1.109.839,83",110495.02,110495.02,111469.88,111408.97,111368.53,111370.96,111441.31,111441.31,111441.31,108907.52,,,"33.763,00",
Eduardo Barbosa,M,25/08/1958,92 dias,0 dias,0 dias,91 reuniões,0 reuniões,17 reuniões,"247.845,06",22913.32,25992.80,30951.65,37263.00,34686.06,29255.32,23832.28,9244.83,5608.98,27466.51,630.31,,"1.114.565,19",111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111453.35,111485.04,,,"33.763,00",
Eduardo Bismarck,M,14/11/1981,81 dias,11 dias,0 dias,72 reuniões,7 reuniões,9 reuniões,"387.671,83",42771.78,48433.07,53046.89,40615.87,53171.37,35061.57,49986.03,24512.53,5591.91,32141.23,2339.58,,"1.081.811,75",108439.60,100116.32,102925.37,105453.61,109885.00,110998.37,110998.37,110998.37,110998.37,110998.37,,,"33.763,00",1
Eduardo Bolsonaro,M,10/07/1984,76 dias,14 dias,2 dias,27 reuniões,6 reuniões,12 reuniões,"290.688,80",19129.11,45801.56,20862.74,34033.24,20812.35,36151.56,54678.40,29120.22,20452.30,9195.67,451.65,,"1.098.174,63",111598.86,111533.88,111447.23,111308.14,109360.58,109301.13,107577.22,107577.22,108466.86,110003.51,,,"33.763,00",1
Eduardo Costa,M,16/02/1968,83 dias,9 dias,0 dias,10 reuniões,6 reuniões,9 reuniões,"333.478,23",37602.77,29483.97,45130.56,42628.52,64988.16,22063.45,21894.85,13694.30,16136.05,37509.90,2345.70,,"1.112.028,74",111313.96,111313.96,111421.78,111429.22,111429.22,111429.22,111429.22,110376.50,111374.63,110511.03,,,"33.763,00",
Eduardo Cury,M,19/09/1963,88 dias,3 dias,1 dias,73 reuniões,1 reuniões,3 reuniões,"331.285,52",44245.79,43411.00,38868.35,28628.41,38316.02,37405.99,32488.40,25399.98,15738.89,25605.38,1177.31,,"989.725,85",101582.78,92109.71,91148.77,97477.96,98965.06,103240.48,98460.60,98460.60,98460.60,109819.29,,,"33.763,00",1
Eduardo da Fonte,M,17/10/1972,84 dias,3 dias,5 dias,2 reuniões,1 reuniões,40 reuniões,"329.401,10",34083.35,42566.48,45258.71,48013.04,46806.07,25355.86,21639.01,25533.18,16566.48,23578.92,0.00,,"1.055.312,52",110448.12,108787.76,97120.73,102047.21,105204.32,111471.69,102622.24,103739.73,108433.33,105437.39,,,"33.763,00",
Efraim Filho,M,18/03/1979,73 dias,9 dias,10 dias,6 reuniões,5 reuniões,14 reuniões,"265.206,49",31920.25,54289.28,52463.46,51650.40,42763.10,7412.58,9627.39,8755.96,1.36,5893.42,429.29,,"1.115.589,62",111148.60,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111617.23,111575.98,111544.43,,,"33.763,00",
Elias Vaz,M,04/07/1966,82 dias,9 dias,1 dias,81 reuniões,5 reuniões,14 reuniões,"167.084,01",15838.58,26200.21,25592.46,27999.68,27596.14,12853.99,11787.89,3017.22,323.45,15362.24,512.15,,"1.074.212,44",105866.83,105866.83,104555.04,105866.83,106630.73,108826.95,108826.95,108826.95,108826.95,110118.38,,,"33.763,00",
Eli Corrêa Filho,M,13/01/1976,82 dias,0 dias,10 dias,42 reuniões,0 reuniões,27 reuniões,"265.305,28",22593.30,23225.37,28285.66,57687.80,56126.53,30297.57,22196.45,6522.28,421.69,17948.63,0.00,,"1.048.068,72",105205.60,105205.60,105205.60,105205.60,101881.14,104761.01,106115.52,106115.52,106115.52,102257.61,,,"33.763,00",
Elmar Nascimento,M,06/07/1970,68 dias,24 dias,0 dias,1 reuniões,0 reuniões,0 reuniões,"401.079,82",11585.43,41325.81,49088.47,60314.77,42793.20,47062.33,37636.26,47299.08,35534.24,28440.23,0.00,,"1.088.843,14",111611.09,111611.09,111611.09,111095.09,111611.09,110283.89,98339.09,103946.26,108324.61,110409.84,,,"33.763,00",1
Emanuel Pinheiro Neto,M,05/01/1995,70 dias,3 dias,19 dias,11 reuniões,1 reuniões,7 reuniões,"260.989,20",18918.90,40897.04,43529.50,29158.03,34158.66,52895.35,15688.43,14630.60,825.90,6028.96,4257.83,,"1.067.534,67",108820.92,109941.35,111435.25,111435.25,110245.56,109803.54,108192.76,97773.24,100583.45,99303.35,,,"33.763,00",
Emidinho Madeira,M,10/03/1967,80 dias,12 dias,0 dias,16 reuniões,4 reuniões,2 reuniões,"300.056,22",56761.57,45061.77,39330.09,32196.96,44434.07,26760.94,20847.93,15245.77,11938.26,7418.86,60.00,,"1.114.845,39",110980.22,110980.22,111528.12,111617.15,111623.22,111623.22,111623.28,111623.32,111623.32,111623.32,,,"33.763,00",
Eli Borges,M,01/09/1960,81 dias,0 dias,11 dias,6 reuniões,0 reuniões,11 reuniões,"389.429,95",31188.98,46066.46,51592.15,46239.19,48724.20,43313.71,41770.08,35826.39,32575.57,10263.37,1869.85,,"1.104.364,78",111130.49,111392.69,111205.19,108796.48,110064.23,111248.28,109041.83,110416.27,110246.84,110822.48,,,"33.763,00",
Enio Verri,M,27/03/1961,89 dias,2 dias,1 dias,32 reuniões,0 reuniões,4 reuniões,"350.522,15",38190.58,37467.64,68879.63,38986.43,43960.07,29704.02,25886.97,22258.37,24764.98,20363.46,60.00,,"1.111.367,61",111398.83,111398.83,111398.83,110220.44,110749.59,110538.29,111455.18,110876.18,111665.72,111665.72,,,"33.763,00",
Enrico Misasi,M,06/08/1994,87 dias,0 dias,5 dias,43 reuniões,0 reuniões,21 reuniões,"323.053,98",24947.21,28095.55,42425.59,43740.70,54222.55,37817.19,41206.87,22642.88,16871.36,11025.61,58.47,,"1.106.991,70",111586.88,111302.18,110816.09,106788.80,110974.20,110159.38,111013.37,111312.77,111544.46,111493.57,,,"33.763,00",
Eros Biondini,M,20/05/1971,88 dias,4 dias,0 dias,33 reuniões,1 reuniões,14 reuniões,"281.611,85",22401.97,30438.97,33405.69,31526.03,36712.77,29487.20,35290.07,20709.20,17992.30,21750.88,1896.77,,"836.020,40",90223.04,90223.04,86035.27,78682.22,79786.71,78922.44,78922.44,79682.04,86771.60,86771.60,,,"33.763,00",
Euclydes Pettersen,M,15/08/1984,77 dias,14 dias,1 dias,6 reuniões,6 reuniões,13 reuniões,"239.749,55",39458.55,34224.98,28593.33,36303.64,35945.83,21880.35,11556.55,10510.19,6865.31,11508.98,2901.84,,"1.102.008,88",101942.13,110241.46,111623.19,111623.22,111623.22,110951.73,109856.30,110901.19,111623.22,111623.22,,,"33.763,00",1
Expedito Netto,M,05/10/1988,82 dias,9 dias,1 dias,2 reuniões,3 reuniões,16 reuniões,"222.912,39",14767.54,30093.83,33348.33,30510.09,25416.15,18925.02,27570.19,12641.28,1388.85,26729.31,1521.80,,"1.099.381,29",111544.33,111544.33,111544.33,111529.16,111539.45,111100.52,109785.83,109894.82,110132.19,100766.33,,,"33.763,00",
Evair Vieira de Melo,M,02/04/1972,87 dias,3 dias,2 dias,67 reuniões,1 reuniões,4 reuniões,"316.638,70",38264.38,46197.13,62458.72,38441.09,43315.06,24394.91,23069.95,14844.44,2615.55,22921.21,116.26,,"1.096.962,77",106904.01,110527.26,107201.84,107178.21,108042.26,111172.72,111328.33,111555.88,111526.13,111526.13,,,"33.763,00",
Fabio Reis,M,15/04/1977,80 dias,4 dias,8 dias,35 reuniões,0 reuniões,1 reuniões,"312.655,57",39865.80,33581.68,32144.11,43493.01,38648.54,34772.71,32086.43,21185.40,13796.32,22090.53,991.04,,"1.107.209,05",108307.92,109336.37,109408.57,111574.66,111574.66,111574.66,111574.66,111574.66,111574.66,110708.23,,,"33.763,00",
Fábio Henrique,M,19/06/1972,90 dias,0 dias,2 dias,75 reuniões,0 reuniões,22 reuniões,"393.613,32",40955.79,38278.23,46688.34,53420.14,51837.95,35534.63,55589.55,49846.87,10956.64,10467.67,37.51,,"1.103.960,07",110763.22,111436.47,110870.47,105066.49,109456.57,110377.32,111465.54,111465.54,111465.54,111592.91,,,"33.763,00",
Fábio Mitidieri,M,24/02/1977,54 dias,10 dias,8 dias,17 reuniões,8 reuniões,19 reuniões,"227.041,28",35258.61,43620.72,33042.39,44648.72,45112.33,24812.68,545.83,,,,0.00,,"1.085.769,32",109876.31,106389.76,109876.31,109876.31,109876.31,107693.02,97566.52,111538.26,111538.26,111538.26,,,"33.763,00",
Fábio Ramalho,M,22/12/1961,88 dias,0 dias,4 dias,19 reuniões,0 reuniões,17 reuniões,"289.106,94",37959.25,46993.70,34431.36,27698.63,36101.94,23280.97,25058.29,19706.66,17071.96,19557.03,1247.15,,"1.073.082,80",106849.52,105995.76,104102.48,110337.36,103699.99,104762.87,104762.87,110775.07,111665.77,110131.11,,,"33.763,00",
Fabio Schiochet,M,31/05/1988,85 dias,3 dias,4 dias,20 reuniões,2 reuniões,5 reuniões,"376.844,53",37195.31,41648.60,42043.11,46815.31,43700.43,50091.13,31304.74,25939.12,21593.26,32923.73,3589.79,,"1.114.119,12",111568.63,111568.63,111568.63,111568.63,111568.63,111544.55,111526.14,111107.56,111107.56,110990.16,,,"33.763,00",
Fausto Pinato,M,01/06/1977,77 dias,12 dias,3 dias,43 reuniões,11 reuniões,11 reuniões,"338.123,53",23272.69,28054.73,37320.63,39811.88,63069.18,29443.84,35430.36,32548.24,26577.30,22521.07,73.61,,"980.822,68",91753.84,90661.58,91078.38,93641.40,98083.43,98203.30,101733.13,105365.38,105151.12,105151.12,,,"33.763,00",
Fábio Trad,M,18/08/1969,90 dias,1 dias,1 dias,88 reuniões,0 reuniões,3 reuniões,"152.333,76",9479.45,21339.35,11214.78,41034.10,25209.13,12053.32,5465.70,14089.48,2400.90,10011.50,36.05,,"1.112.229,14",111501.88,111501.88,111501.88,111324.76,111501.88,111501.88,111501.88,111501.88,110217.75,110173.47,,,"33.763,00",
Felício Laterça,M,26/05/1967,84 dias,7 dias,1 dias,103 reuniões,6 reuniões,6 reuniões,"350.247,62",33761.68,41861.86,62060.32,40359.41,38642.49,19555.55,31845.60,22935.73,20966.82,36513.88,1744.28,,"1.070.004,37",103822.74,108245.62,111562.78,109721.17,92281.25,106166.20,108227.55,109988.01,108902.30,111086.75,,,"33.763,00",
Felipe Carreras,M,16/04/1975,77 dias,6 dias,9 dias,70 reuniões,9 reuniões,33 reuniões,"184.012,22",14274.35,25074.36,24477.74,14515.87,21740.82,16037.40,21745.42,29974.45,4715.52,11456.29,0.00,,"1.110.530,22",108137.52,111659.58,111659.58,111659.58,111659.58,111571.02,109331.88,111617.16,111617.16,111617.16,,,"33.763,00",
Felipe Francischini,M,02/10/1991,86 dias,2 dias,4 dias,26 reuniões,1 reuniões,39 reuniões,"290.395,16",36420.46,40851.46,28714.76,44628.80,52025.43,41969.22,15569.99,12110.34,3776.09,14128.61,200.00,,"1.107.177,89",111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,111598.86,110754.73,107237.53,107993.61,,,"33.763,00",
Felipe Rigoni,M,13/06/1991,86 dias,6 dias,0 dias,84 reuniões,7 reuniões,32 reuniões,"314.203,45",41526.20,38040.74,37743.41,40781.58,54439.33,34092.96,18297.10,23638.57,9243.23,14963.23,1437.10,,"961.510,10",97934.05,100493.35,100959.56,100959.56,104522.55,89598.50,80482.02,93565.41,93565.41,99429.69,,,"33.763,00",
Félix Mendonça Júnior,M,29/11/1963,86 dias,6 dias,0 dias,30 reuniões,8 reuniões,16 reuniões,"324.962,29",30256.20,36235.51,35264.16,42584.56,50388.49,23719.29,43121.12,20178.34,14497.37,26697.48,2019.77,,"1.093.456,69",111574.69,111574.69,111574.69,111574.69,111574.69,99983.33,107556.02,108772.32,109170.84,110100.73,,,"33.763,00",
Carlos Veras,M,10/08/1981,89 dias,3 dias,0 dias,42 reuniões,8 reuniões,33 reuniões,"346.470,48",23450.32,50658.26,61233.10,37074.81,65132.56,29707.30,34668.74,24844.59,5992.91,12474.14,1233.75,,"1.062.773,43",102271.86,100443.89,100443.89,105043.78,108026.51,106855.41,109678.36,109831.56,109119.16,111059.01,,,"33.763,00",1
Carlos Zarattini,M,08/06/1959,86 dias,2 dias,4 dias,20 reuniões,1 reuniões,19 reuniões,"297.688,94",27151.54,32367.11,64118.33,25278.01,55777.06,28292.59,25051.27,14054.68,10433.06,13858.47,1306.82,,"1.115.444,20",111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,111544.42,,,"33.763,00",
Cássio Andrade,M,12/09/1981,70 dias,22 dias,0 dias,36 reuniões,15 reuniões,25 reuniões,"307.608,33",21728.53,32899.83,26323.38,50683.51,58046.30,36031.58,14449.73,9264.77,3863.84,54316.86,0.00,,"1.114.161,17",111653.55,111594.40,111574.68,111574.68,111574.68,111574.67,110238.62,111444.93,111465.48,111465.48,,,"33.763,00",
Celso Russomanno,M,20/08/1956,89 dias,2 dias,1 dias,30 reuniões,5 reuniões,3 reuniões,"173.626,19",5918.88,28583.18,23440.72,32244.15,24383.53,25438.32,19954.21,5651.37,1220.62,6791.21,0.00,,"1.026.873,67",96961.81,98308.99,100425.40,103329.11,103522.12,104152.03,107493.07,105272.98,103828.92,103579.24,,,"33.763,00",1
Celso Sabino,M,29/08/1978,77 dias,6 dias,9 dias,28 reuniões,4 reuniões,13 reuniões,"350.349,09",35687.11,41271.47,41719.51,35533.17,53029.49,42929.38,37781.33,16249.92,14266.05,31829.16,52.50,,"1.084.859,43",111111.11,111280.24,111379.14,110872.20,109110.72,108438.60,109562.14,105568.87,103896.09,103640.32,,,"33.763,00",1
Cezinha de Madureira,M,12/12/1973,85 dias,0 dias,7 dias,38 reuniões,0 reuniões,39 reuniões,"325.836,31",37003.29,36167.38,38256.80,50290.01,47505.37,20781.53,34316.10,29210.00,16683.05,14273.67,1349.11,,"1.112.642,54",111383.97,110930.03,111423.09,111423.09,111169.89,111423.09,110326.94,111485.72,111538.36,111538.36,,,"33.763,00",
Célio Silveira,M,19/09/1959,88 dias,4 dias,0 dias,31 reuniões,1 reuniões,6 reuniões,"249.268,07",18102.06,29238.30,30935.93,27982.39,31959.23,18044.17,17332.28,17806.01,16854.28,40969.73,43.69,,"1.113.420,47",111671.79,111671.79,111671.79,111671.79,111671.79,110968.96,109631.33,111578.65,111441.29,111441.29,,,"33.763,00",
Celso Maldaner,M,30/08/1953,82 dias,5 dias,5 dias,22 reuniões,2 reuniões,1 reuniões,"369.913,72",24680.20,30121.77,43359.15,32327.41,41007.63,27013.34,28086.87,25892.83,22602.17,51620.99,43201.36,,"1.104.561,40",111010.67,111140.65,111370.11,108394.27,109190.92,109485.71,110743.36,111470.49,111162.32,110592.90,,,"33.763,00",
Célio Studart,M,19/06/1987,80 dias,3 dias,9 dias,16 reuniões,3 reuniões,16 reuniões,"334.771,25",42405.28,77088.77,34915.78,50390.81,46271.91,22564.85,25601.39,14660.40,4343.55,16378.51,150.00,,"1.098.247,56",111276.50,111198.61,111550.82,111653.55,111653.55,107237.22,111313.87,108312.84,107025.30,107025.30,,,"33.763,00",
Charles Fernandes,M,15/03/1965,90 dias,1 dias,1 dias,35 reuniões,0 reuniões,6 reuniões,"323.383,76",24256.26,47976.68,50658.86,46560.45,48292.35,27745.84,27027.00,19586.71,19284.11,10381.44,1614.06,,"1.112.836,72",111439.65,111389.19,111507.90,111507.88,110522.28,111149.99,111433.52,111507.87,111507.87,110870.57,,,"33.763,00",
Charlles Evangelista,M,27/12/1984,88 dias,4 dias,0 dias,27 reuniões,5 reuniões,4 reuniões,"272.031,91",22449.08,36430.49,47122.47,36668.39,49948.09,24701.10,21331.84,25587.97,1432.93,6359.55,0.00,,"1.059.386,34",102330.37,102010.39,103658.78,105928.21,106859.77,104041.72,106811.02,110258.36,110258.36,107229.36,,,"33.763,00",
Chico D'Angelo,M,11/02/1953,83 dias,3 dias,6 dias,31 reuniões,2 reuniões,34 reuniões,"284.234,89",31896.36,27273.29,30877.95,43620.43,41207.47,32636.24,30772.24,20679.40,17903.83,6817.68,550.00,,"1.113.229,62",111574.71,111574.71,110060.41,111423.07,111423.07,111423.07,111423.07,111423.07,111423.07,111481.37,,,"33.763,00",
Chiquinho Brazão,M,22/02/1962,84 dias,0 dias,8 dias,50 reuniões,0 reuniões,4 reuniões,"291.545,15",5628.16,25886.77,61019.13,45809.13,49940.05,27195.38,11919.52,9234.91,18890.85,36021.25,0.00,,"1.114.045,59",111623.18,110117.12,110943.03,111623.18,111623.18,111623.18,111623.18,111623.18,111623.18,111623.18,,,"33.763,00",
Christino Aureo,M,26/04/1962,87 dias,5 dias,0 dias,22 reuniões,7 reuniões,7 reuniões,"364.350,26",35707.47,43836.64,42917.16,48167.17,53926.39,32622.07,26143.21,21788.64,18368.80,40258.88,613.83,,"1.111.010,04",111412.57,111647.36,107066.29,111310.13,111604.92,111604.92,111604.92,111604.92,111585.50,111568.51,,,"33.763,00",
Claudio Cajado,M,01/12/1963,81 dias,10 dias,1 dias,24 reuniões,2 reuniões,1 reuniões,"319.967,50",25338.77,40167.84,53444.52,42649.60,27640.24,33006.34,28893.21,31157.71,9849.66,27619.61,200.00,,"1.102.608,00",111538.31,107663.10,107365.01,108851.14,111611.11,111611.11,111611.11,111611.11,111611.11,109134.89,,,"33.763,00",2
Cleber Verde,M,10/05/1972,91 dias,1 dias,0 dias,15 reuniões,0 reuniões,19 reuniões,"300.663,96",14582.42,18944.35,47074.36,45118.81,99276.90,13222.16,16834.74,8782.05,4751.79,32076.38,0.00,,"1.091.392,63",110588.35,105407.76,109632.33,97860.55,111342.09,111580.81,111580.81,111580.81,111580.81,110238.31,,,"33.763,00",
Coronel Armando,M,23/06/1957,84 dias,4 dias,4 dias,40 reuniões,0 reuniões,1 reuniões,"243.119,72",12148.50,26826.54,33216.85,48925.26,49749.39,25127.17,20027.71,10975.22,4534.03,9709.47,1879.58,,"1.092.037,31",101236.10,103071.39,111201.67,110216.08,110773.16,111095.62,111269.37,111508.09,111508.09,110157.74,,,"33.763,00",
Coronel Tadeu,M,30/09/1965,88 dias,0 dias,4 dias,61 reuniões,0 reuniões,14 reuniões,"332.916,64",37359.64,45903.08,33260.17,32063.81,48565.66,27237.62,25482.15,17392.78,17775.38,28430.40,19445.95,,"1.088.567,27",111127.47,109317.63,107351.00,101360.55,110345.01,108448.48,106340.00,111358.01,111459.56,111459.56,,,"33.763,00",
Covatti Filho,M,25/07/1987,89 dias,0 dias,3 dias,33 reuniões,1 reuniões,12 reuniões,"354.596,62",39901.49,64904.76,45888.49,45547.51,61494.69,34354.07,35673.58,7646.43,612.00,17873.82,699.78,,"1.087.781,16",110922.09,111617.12,107422.09,109771.87,110840.89,108844.64,97398.86,110212.41,110288.12,110463.07,,,"33.763,00",
Coronel Chrisóstomo,M,23/06/1959,89 dias,0 dias,3 dias,68 reuniões,0 reuniões,35 reuniões,"368.241,44",43569.56,50409.86,41654.50,41798.47,49488.53,35493.95,36213.06,25552.93,16022.94,27543.32,494.32,,"1.064.563,22",107323.44,106208.72,102467.86,107196.50,98159.34,108000.77,107946.98,108363.78,109587.98,109307.85,,,"33.763,00",
Da Vitoria,M,02/06/1971,89 dias,0 dias,3 dias,0 reuniões,0 reuniões,0 reuniões,"344.528,51",39721.75,61373.19,36361.78,48373.97,37143.23,27515.03,30632.01,27567.15,23415.71,10098.49,2326.20,,"1.103.849,80",109916.03,109232.89,110340.24,110968.15,110968.15,110968.15,111559.84,110395.01,111192.57,108308.77,,,"33.763,00",
Cristiano Vale,M,10/04/1970,80 dias,12 dias,0 dias,25 reuniões,5 reuniões,3 reuniões,"339.850,13",20452.98,49639.93,30338.48,43108.68,49829.99,38126.87,26721.78,30470.89,32141.42,18563.85,455.26,,"1.053.658,38",110040.22,103847.89,110040.22,105919.51,103859.15,98892.22,97650.62,104977.00,107755.43,110676.12,,,"33.763,00",
Glauber Braga,M,26/06/1982,88 dias,3 dias,1 dias,46 reuniões,3 reuniões,16 reuniões,"249.152,28",17256.11,31524.84,46990.34,41104.72,43161.14,26199.00,21782.77,8772.04,3355.87,9005.45,0.00,,"1.083.239,39",111635.78,111635.78,111635.78,100164.04,106112.74,110185.24,108335.96,106862.15,108335.96,108335.96,,,"33.763,00",
Damião Feliciano,M,28/04/1952,81 dias,10 dias,1 dias,29 reuniões,7 reuniões,24 reuniões,"299.356,24",33696.89,30513.30,45137.92,53251.62,39985.25,21830.00,19723.61,12971.79,10939.09,30722.02,584.75,,"1.061.513,65",111054.03,106603.56,94753.60,91868.67,107855.77,111429.12,111429.12,109759.06,107977.67,108783.05,,,"33.763,00",
Dagoberto Nogueira,M,21/07/1955,80 dias,12 dias,0 dias,4 reuniões,0 reuniões,0 reuniões,"392.765,26",33968.57,43913.03,47315.35,46082.30,39158.72,43879.61,41129.03,39057.91,33635.67,24585.90,39.17,,"1.111.346,73",111166.05,111277.60,111277.60,111277.60,111277.60,111277.60,110863.55,110859.05,110859.05,111211.03,,,"33.763,00",
Glaustin da Fokus,M,22/12/1973,73 dias,11 dias,8 dias,10 reuniões,4 reuniões,0 reuniões,"242.210,77",10991.80,11824.00,26296.76,43887.86,121027.92,6316.73,6012.78,307.54,1.58,15543.80,0.00,,"1.092.158,14",111277.44,110313.37,111653.47,111653.47,111653.47,111548.53,99804.96,101249.81,111501.81,111501.81,,,"33.763,00",
Gonzaga Patriota,M,26/04/1946,80 dias,6 dias,6 dias,28 reuniões,7 reuniões,25 reuniões,"380.155,21",23321.92,41059.43,47372.68,37071.52,47392.53,33365.05,14810.82,24895.76,15356.60,28298.48,67210.42,,"1.115.718,01",111537.98,111533.39,111580.83,111580.83,111580.83,111580.83,111580.83,111580.83,111580.83,111580.83,,,"33.763,00",
Guilherme Mussi,M,14/10/1982,55 dias,15 dias,22 dias,0 reuniões,2 reuniões,1 reuniões,"167.339,76",13411.67,40786.13,29938.94,21082.66,27120.16,3643.94,8274.08,7555.10,5000.20,10287.16,239.72,,"1.113.779,92",111423.08,111370.21,110695.37,111335.52,111363.58,111326.61,111432.25,111611.10,111611.10,111611.10,,,"33.763,00",
Gurgel,M,02/12/1980,91 dias,0 dias,1 dias,45 reuniões,0 reuniões,9 reuniões,"304.315,99",30854.01,50602.99,53138.70,41056.98,41300.20,29009.30,16063.62,23894.73,4534.47,13654.20,206.79,,"1.043.331,18",108173.01,94076.65,98798.22,97414.57,105810.92,106438.09,111465.45,110479.86,110137.04,100537.37,,,"33.763,00",1
Gustavo Fruet,M,18/04/1963,91 dias,1 dias,0 dias,26 reuniões,0 reuniões,1 reuniões,"374.089,71",51898.88,69808.76,56026.78,68837.63,47334.53,23097.35,16604.91,8174.92,2810.21,29123.81,371.93,,"1.063.279,34",105805.10,106054.78,106054.78,106054.78,106054.78,106019.19,103701.22,103701.22,108481.10,111352.39,,,"33.763,00",
Gustinho Ribeiro,M,16/02/1982,76 dias,10 dias,6 dias,9 reuniões,3 reuniões,17 reuniões,"356.515,99",7595.71,72060.11,19440.13,61050.02,53501.99,62592.98,9368.45,5296.21,4189.16,61421.23,0.00,,"1.116.716,10",111671.61,111671.61,111671.61,111671.61,111671.61,111671.61,111671.61,111671.61,111671.61,111671.61,,,"33.763,00",
